timestamp,cpu_load,memory_usage,disk_io,network_io,prediction
2025-10-15 06:35:42.996638,30.25,23.47,234.8,77.05,51.2907287821283
2025-10-15 06:35:43.996637,18.22,79.73,232.49,11.99,58.028704144587586
2025-10-15 06:35:44.996637,17.03,39.42,107.51,72.23,50.12749578604411
2025-10-15 06:35:45.996636,38.04,22.86,156.91,77.88,49.707895465267875
2025-10-15 06:35:46.996636,28.91,49.44,67.0,51.79,50.96218986065003
2025-10-15 06:35:47.996635,93.48,75.75,228.36,71.53,54.93295428810387
2025-10-15 06:35:48.996635,90.03,34.82,233.85,50.99,53.23785222750434
2025-10-15 06:35:49.996634,37.91,38.83,298.28,45.23,55.01683888326087
2025-10-15 06:35:50.996634,31.41,97.89,98.71,71.48,53.91974577327762
2025-10-15 06:35:51.996633,19.18,20.74,71.25,120.44,45.94716573033271
2025-10-15 06:35:52.996633,23.42,25.34,126.88,47.39,50.70238074629698
2025-10-15 06:35:53.996633,43.85,74.84,162.68,106.15,52.00573649688525
2025-10-15 06:35:54.996632,86.07,97.98,260.94,101.94,55.65118447995991
2025-10-15 06:35:55.996632,42.18,57.82,150.82,31.16,54.095486188274265
2025-10-15 06:35:56.996631,56.41,45.02,130.83,80.75,50.56048045210003
2025-10-15 06:35:57.996631,55.72,62.54,215.65,68.65,53.93323374077364
2025-10-15 06:35:58.996630,93.2,78.14,298.88,135.83,53.48633605635835
2025-10-15 06:35:59.996630,40.9,31.84,148.21,57.55,51.0816944697265
2025-10-15 06:36:00.996629,15.52,52.1,284.43,132.03,51.63369415534888
2025-10-15 06:36:01.996629,76.32,63.76,292.25,96.56,54.20534752054073
2025-10-15 06:36:02.996628,25.01,48.28,90.68,99.46,49.14067294921458
2025-10-15 06:36:03.996628,65.32,67.16,118.13,74.44,52.09379951805315
2025-10-15 06:36:04.996627,84.98,79.66,277.91,22.98,58.39340516389873
2025-10-15 06:36:05.996627,55.62,82.87,283.17,99.11,55.195991250014885
2025-10-15 06:36:06.996627,60.45,87.58,274.07,144.03,53.26295822111963
2025-10-15 06:36:07.996626,44.85,63.96,245.95,88.89,53.67912275136413
2025-10-15 06:36:08.996626,90.21,38.42,153.48,86.03,50.310619854118926
2025-10-15 06:36:09.996625,38.16,23.3,287.32,115.34,50.525452396437316
2025-10-15 06:36:10.996625,88.45,78.97,131.52,21.38,55.59509722060928
2025-10-15 06:36:11.996624,62.8,46.41,211.12,59.26,53.19581181056251
2025-10-15 06:36:12.996624,60.05,62.39,238.56,118.19,52.07836682292182
2025-10-15 06:36:13.996623,60.31,74.33,57.61,103.74,50.05452970996678
2025-10-15 06:36:14.996623,74.24,83.99,223.3,32.54,57.18875670623844
2025-10-15 06:36:15.996622,23.81,56.33,290.79,119.25,52.630590982839315
2025-10-15 06:36:16.996622,21.65,78.32,66.91,96.41,50.84045622697212
2025-10-15 06:36:17.996621,88.1,73.0,222.64,36.03,56.276688646211305
2025-10-15 06:36:18.996621,83.58,70.78,161.62,55.35,54.057760570873086
2025-10-15 06:36:19.996621,34.79,78.08,201.38,124.28,52.13343442140683
2025-10-15 06:36:20.996620,92.3,67.52,160.15,27.86,55.079492535271086
2025-10-15 06:36:21.996620,55.25,65.6,76.55,41.67,52.699216221460894
2025-10-15 06:36:22.996619,44.08,24.68,221.53,32.87,53.15543550608992
2025-10-15 06:36:23.996619,76.93,65.45,294.61,125.49,53.02885878593255
2025-10-15 06:36:24.996618,30.12,58.22,267.61,124.61,52.06264530013295
2025-10-15 06:36:25.996618,87.61,57.76,278.07,72.18,54.65411012395259
2025-10-15 06:36:26.996617,89.3,86.08,187.93,36.21,56.47695629049401
2025-10-15 06:36:27.996617,93.52,35.31,89.57,70.25,49.59652690666765
2025-10-15 06:36:28.996616,36.63,25.88,288.09,62.14,53.16961485237415
2025-10-15 06:36:29.996616,51.61,20.73,95.86,57.51,49.32673695965263
2025-10-15 06:36:30.996615,72.43,35.47,127.8,99.82,48.98013340275557
2025-10-15 06:36:31.996615,94.6,73.06,58.48,79.89,51.087060248598696
2025-10-15 06:36:32.996614,52.79,67.06,61.53,53.84,51.945516557811004
2025-10-15 06:36:33.996614,44.73,40.15,91.87,11.24,52.690251072373535
2025-10-15 06:36:34.996613,86.49,20.91,290.1,50.05,53.43271341772633
2025-10-15 06:36:35.996613,52.16,83.33,264.71,26.41,58.226771153575854
2025-10-15 06:36:36.996613,19.93,39.39,75.25,14.76,52.15587645980815
2025-10-15 06:36:37.996612,14.87,59.27,298.13,105.44,53.60730470925091
2025-10-15 06:36:38.996612,89.85,80.86,238.87,43.76,56.76108960665631
2025-10-15 06:36:39.996611,30.25,88.2,241.14,92.41,55.05199947610245
2025-10-15 06:36:40.996611,59.56,65.61,289.26,144.37,52.064730927219316
2025-10-15 06:36:41.996610,51.7,74.99,140.63,19.62,55.58486112625643
2025-10-15 06:36:42.996610,21.79,61.85,252.61,37.76,56.026387328546214
2025-10-15 06:36:43.996609,64.32,33.92,64.47,71.78,48.94801074053137
2025-10-15 06:36:44.996609,81.97,46.26,73.61,111.44,48.12241721225571
